,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
103958,21 Gower Street Camden London WC1E 6HG United Kingdom,122,11/30/2016,7.8,The Academy, United Kingdom , The air conditioning was quite noisy and some of the room could do with an upgrade The curtains were partly off the rails so we didn t have all of the advantage of the black out curtains I suppose the price is what it is for being in the middle of London but it didn t meet my expectations standards for that price ,65,612, Great location close to shops and theatres and quiet location The bed was comfortable and the staff friendly ,20,3,6.7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",246 day,51.5205441,-0.1308091,"51.5205441,-0.1308091",London
506345,Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,2/13/2017,8.7,Park Plaza Westminster Bridge London, United Kingdom , It was a rather large hotel and had to que for check in ,15,12158, Great position ,4,1,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room Disability Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",171 day,51.5009609,-0.1165913,"51.5009609,-0.1165913",London
338467,Hanger Lane Ealing London W5 3HL United Kingdom,183,1/4/2016,8.5,Hotel 55, United Kingdom , There is no elevator for top floors Only 5 car parking available first come first serve and requires a bit of skill as well but that s just London I guess ,33,722, Very good location very close to North Ealing underground station Restaurants close by and a supermarket open till 12 am Very easy access to motorways it took me less than 10 minute to hit the motorway from the hotel ,41,11,7.5,"[' Leisure trip ', ' Couple ', ' Double Room with Street View ', ' Stayed 3 nights ']",577 day,51.521330299999995,-0.2915052,"51.521330299999995,-0.2915052",London
266956,Aldwych Westminster Borough London WC2B 4DD United Kingdom,409,5/31/2016,8.4,The Waldorf Hilton, United Kingdom , Very noisy at night with internal hotel noise sounds like pumps running ,14,1479, Cleanliness and helpfull staff,5,1,5.8,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ']",429 day,51.5131979,-0.1174504,"51.5131979,-0.1174504",City of Westminster
179787,40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,5/8/2017,7.9,H tel Concorde Montparnasse, Australia , Unfriendly staff member and indifference in assisting us Would not recommend ,13,2515, Not much Unfortunately the staff member who booked us in had little interest in assisting not even a smile ,21,18,4.6,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",87 days,48.8381079,2.318669,"48.8381079,2.318669",Paris
310090,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,514,9/27/2016,8.9,Jaz Amsterdam, Slovenia , The location was perfect for our occasion next to Ziggo Dome but not great for going to city center ,21,7108, Great breakfast open late in the weekend perfect ,10,15,10.0,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 3 nights ']",310 day,52.314371,4.938806400000001,"52.314371,4.938806400000001",Amsterdam
52431,146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,2/21/2016,8.2,Hilton London Paddington, Australia , Dated hotel does not do the Hilton brand any favours Everything is an add on including WiFi which is free but we must have your Email address first Daily knocks on the room door from staff e g for a minibar check TV channels were extremely limited no Sky or Cable TV and a lot of foreign language channels ,61,2898, Location is fantastic and great room size for inner London Bed was very comfortable ,16,23,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",529 day,51.515632000000004,-0.17573699999999998,"51.515632000000004,-0.17573699999999998",City of Westminster
510711,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,975,11/2/2015,8.7,The Student Hotel Amsterdam City, United States of America , No warm breakfast in the hotel Nearby dinners open relative late for breakfast ,15,7656, cleanliness friendly staff,4,12,8.8,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ']",640 day,52.354664899999996,4.9131640999999995,"52.354664899999996,4.9131640999999995",Amsterdam
35549,111 avenue de la Bourdonnais 7th arr 75007 Paris France,178,3/31/2016,8.8,H tel de la Bourdonnais, Australia , None,2,1337, Location is perfect room is very clean spacious and with fantastic view The stuff in front of the desk is so helpful and nice One even can speak Chinese Definitely will go again ,35,1,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",490 day,48.8550466,2.304583,"48.8550466,2.304583",Paris
347665,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,550,3/31/2017,8.8,Room Mate Aitana, Romania ,No Negative,0,4097, Very nice breackfast area ,6,21,9.6,"[' Leisure trip ', ' Couple ', ' Queen or Two Double Beds Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",125 day,52.384605900000004,4.894186599999999,"52.384605900000004,4.894186599999999",Amsterdam
153100,335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,3/21/2017,9.0,The Westbridge Hotel, United Kingdom , Lack of alcohol ,5,1200, Lovely atmosphere,3,9,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",135 day,51.5373904,-0.0023366999999999997,"51.5373904,-0.0023366999999999997",London
452394,Sloane Square Kensington and Chelsea London SW1W 8EG United Kingdom,279,10/4/2015,8.2,Sloane Square Hotel, United Kingdom , Nothing ,3,1140, Reception staff were superb especially the young man on duty when we arrived on checking out ,18,5,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",669 day,51.4927325,-0.15737079999999998,"51.4927325,-0.15737079999999998",London
431340,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,119,6/26/2016,8.3,Hotel Roemer Amsterdam, Hong Kong , Bathroom water spread out everywhere,6,974, Right next to my office Tommy Hilfiger and heart of the city,13,2,7.5,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room Annex ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",403 day,52.361757700000005,4.8780052000000005,"52.361757700000005,4.8780052000000005",Amsterdam
63271,16 Sumner Place Kensington and Chelsea London SW7 3EG United Kingdom,73,6/20/2017,9.1,Number Sixteen, Canada ,No Negative,0,270, Very attentive staff AC was not working all that well ,12,10,9.2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",44 days,51.4930905,-0.17550220000000002,"51.4930905,-0.17550220000000002",London
339839,Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,757,1/28/2017,8.7,WestCord Fashion Hotel Amsterdam, Ireland ,No Negative,0,5236, Fabulous hotel great staff,5,1,9.6,"[' Leisure trip ', ' Couple ', ' Large Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",187 day,52.357655,4.844576,"52.357655,4.844576",Amsterdam
341504,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,141,4/29/2017,9.2,Banks Mansion All Inclusive Hotel, United States of America , Nothinggreat location and great hotel,6,803, I asked for quiet room and that what I got the wine at the end day fabulous,18,6,10.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",96 days,52.365386799999996,4.8931979000000005,"52.365386799999996,4.8931979000000005",Amsterdam
98809,20 Nevern Square Kensington and Chelsea London SW5 9PD United Kingdom,305,12/3/2015,8.3,Twenty Nevern Square Hotel, Germany , musty odor in the room probably because the building is old and ther room was on the 1 floor ,21,1719, Reach and fresh breakfast central location close to the tube 3 min walk quiet street very clean friendly staff,20,1,9.0,"[' Leisure trip ', ' Group ', ' Luxury Twin Room ', ' Stayed 3 nights ']",609 day,51.4915712,-0.1963192,"51.4915712,-0.1963192",London
214580,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,791,8/20/2016,7.3,Shaftesbury Premier London Paddington, Australia , Some rooms are a bit small ,8,3609, It s so close to Paddington Station which is great to get to and from Heathrow It s clean and has everything you need ,26,6,7.5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",348 day,51.5153672,-0.1783271,"51.5153672,-0.1783271",City of Westminster
151470,33 avenue George V 8th arr 75008 Paris France,42,11/19/2016,9.0,Prince de Galles a Luxury Collection hotel Paris, Lebanon , Breakfast,2,171,No Positive,0,2,8.3,"[' Business trip ', ' Solo traveler ', ' Art Deco Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",257 day,48.869143,2.3006526000000003,"48.869143,2.3006526000000003",Paris
22573,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,43,5/11/2017,9.1,Bradford Elys es Astotel, United Kingdom , Drinks in room could be better than cheap instant but always nice stuff available downstairs,16,234, Friendly and laid back Good breakfast ,8,8,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 2 nights ']",84 days,48.8729676,2.3081177999999998,"48.8729676,2.3081177999999998",Paris
322126,Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,4/26/2017,8.4,DoubleTree By Hilton London Excel, United Kingdom ,No Negative,0,2726, Staff were very friendly and helpful couldn t do more to help ,14,1,8.8,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",99 days,51.507377000000005,0.038657,"51.507377000000005,0.038657",London
350732,John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands,350,8/5/2016,7.9,Dutch Design Hotel Artemis, United Kingdom , Would be nice to have a hair conditioner provided ,11,2167, The bed was very comfortable clean room Very good public transport connections with city centre and airport ,19,1,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",363 day,52.341789399999996,4.824952,"52.341789399999996,4.824952",Amsterdam
150354,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,10/27/2016,8.4,Park Grand London Kensington, United Kingdom , Took a little time to heat up the room,10,4660, The bed was lovely,5,2,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Triple Room ', ' Stayed 1 night ']",280 day,51.4938468,-0.19175820000000002,"51.4938468,-0.19175820000000002",London
215049,56 57 Frith Street Westminster Borough London W1D 3JG United Kingdom,125,3/29/2017,8.3,Mimi s Hotel Soho, United Kingdom ,No Negative,0,687, It was very clean very well decorated and furnished to a high 5 quality Staff are very welcoming friendly and helpful You couldn t ask for a better location turn left out of the hotel and you are a 2 minute walk to oxford street shopping Turn right out of the hotel and you are a 2 minute walk from the soho bars and restaurants Staying here made our trip so much easier for what we wanted to achieve ,81,3,10.0,"[' Leisure trip ', ' Couple ', ' Suite without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']",127 day,51.5140329,-0.13206510000000002,"51.5140329,-0.13206510000000002",City of Westminster
146228,31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,378,1/25/2017,8.7,Radisson Blu Edwardian Hampshire, United Kingdom , The coffee tea were cold at breakfast otherwise great choice of cereals fruit or hot selection ,18,1543,No Positive,0,1,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",190 day,51.509963,-0.129797,"51.509963,-0.129797",City of Westminster
373661,Mallorca 1 23 Sants Montju c 08014 Barcelona Spain,390,8/25/2015,7.6,Expo Hotel Barcelona, Ireland , Paid for a king room 2 single beds pushed together Not impressed No attention to detail Extremely plain room and not cosey at all Very sub standard Pool area was awful Was so disappointed with it Views and area are not too nice either,45,4646, Staff were lovely Rooftop bar was nice,8,1,5.8,"[' Leisure trip ', ' Couple ', ' King Room with Balcony ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",709 day,41.379205299999995,2.1427989,"41.379205299999995,2.1427989",Barcelona
319081,Enrique Granados 83 Eixample 08008 Barcelona Spain,82,4/6/2017,8.8,Hotel Granados 83, Romania , The rooms didn t had tea and coffee making facilities and was first time in my life that i acctually needed one breakfast has a la carte eggs few options and expensive ,34,573, The hotel is very beatifull in a good central position Rooms are quite and very nice decorated I enjoyed my stay here ,24,4,8.8,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 3 nights ']",119 day,41.391843,2.156844,"41.391843,2.156844",Barcelona
222125,6 Waterloo Place Westminster Borough London SW1Y 4AN United Kingdom,240,8/7/2016,9.2,Sofitel London St James, United Kingdom ,No Negative,0,1284, Pleasant and friendly staff and excellent location ,9,1,9.2,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",361 day,51.5076044,-0.132266,"51.5076044,-0.132266",City of Westminster
392761,Ottakringer Stra e 34 36 17 Hernals 1170 Vienna Austria,201,11/27/2015,7.7,Exe Vienna, Denmark , There was smoke coming in the room from the bathroom ventilator That was something that our friends also experienced in another room on another floor Breakfast was below fair in quality There was a lot of noise coming from the street stayed on the 2nd floor Some of the front desk staff did not seem to know anything about how public transportation works in Vienna especially when it came to the very early hours of the day For the same money around 60 night there were better options ,90,2667, The staff especially those in charge of cleaning was very kind and helpful which is always very important For the things I did not like I would put the blame on poor management ,35,6,4.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ']",615 day,48.2149414,16.3365285,"48.2149414,16.3365285",Wien
500824,Wagramer Stra e 16 18 22 Donaustadt 1220 Vienna Austria,198,7/14/2016,8.6,Park Inn by Radisson Uno City Vienna, Singapore ,No Negative,0,2341, Excellent location and facilities Staff are super helpful and friendly,11,4,10.0,"[' Solo traveler ', ' Standard Single Room ', ' Stayed 3 nights ']",385 day,48.2340799,16.421009299999998,"48.2340799,16.421009299999998",Wien
287828,Bloomsbury Way Camden London WC1A 2SD United Kingdom,387,11/2/2015,8.5,Thistle Holborn The Kingsley, United Kingdom ,No Negative,0,1593, The night manager so helpful and the staff overall excellent,11,16,8.3,"[' Business trip ', ' Solo traveler ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",640 day,51.5179659,-0.12343430000000001,"51.5179659,-0.12343430000000001",London
123500,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,2/2/2017,7.5,Mayflower Hotel Apartments, United Kingdom , The bed was two singles attached together and there was a noticeable gap when sleeping which made for an uncomfortable nights sleep It also wasn t what I thought I was booking they had no pictures of the apartment so I thought a suite was a large room won t have booked if I knew it was an apartment It was also 5 floors up with no lift and this was difficult with a sore back,77,2197,No Positive,0,1,6.3,"[' Leisure trip ', ' Couple ', ' Superior Studio Apartment ', ' Stayed 1 night ', ' Submitted from a mobile device ']",182 day,51.4916677,-0.1947475,"51.4916677,-0.1947475",London
77413,18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom,362,1/29/2016,8.1,Danubius Hotel Regents Park, United Kingdom , Nothing was ever available on room service We were both not happy about this ,16,1294, The room was spacious with good facilities hotel was in a very good location to get around London Very nice hotel ,23,1,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",552 day,51.529257,-0.16835799999999998,"51.529257,-0.16835799999999998",City of Westminster
317615,Empire Way Wembley Brent London HA9 8DS United Kingdom,1005,4/23/2017,8.3,Holiday Inn London Wembley, India ,No Negative,0,3469, Staff,2,5,8.3,"[' Couple ', ' Executive Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",102 day,51.559095500000005,-0.284704,"51.559095500000005,-0.284704",London
338915,Harmoniegasse 5 7 09 Alsergrund 1090 Vienna Austria,101,9/14/2015,9.2,The Harmonie Vienna, Taiwan , Parking Is Not Easy,5,1083, Nice Breakfast Comfortable Bed,5,17,7.9,"[' Leisure trip ', ' Family with young children ', ' Comfort Double Room ', ' Stayed 1 night ']",689 day,48.219942700000004,16.3598984,"48.219942700000004,16.3598984",Wien
236101,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,7/10/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, South Africa , More check in Check out front of house staff quite a jam up checking in ad out,18,7491, Hi this was an excellent experience thank you The staff bar none were exemplary and friendly professional and on point Two x tea bags in the teapot for one this is a small thing but very welcome and shows real attention to detail ,45,1,9.6,"[' Business trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",24 days,51.5108412,-0.0780581,"51.5108412,-0.0780581",City of London
305460,Crist bal de Moura 138 Sant Mart 08019 Barcelona Spain,60,1/3/2017,8.1,Tryp Barcelona Condal Mar Hotel, Belgium ,No Negative,0,660, Very helpfull staff and central location close to everything Recommend it ,13,6,10.0,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",212 day,41.412650799999994,2.2090895,"41.412650799999994,2.2090895",Barcelona
38046,12 boulevard Malesherbes 8th arr 75008 Paris France,139,10/16/2016,8.4,Waldorf Madeleine, France , The room service cleaning is not well done bed are not very comfortable room are small ,18,1184, Location,2,7,6.7,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",291 day,48.8715828,2.3224853,"48.8715828,2.3224853",Paris
323522,Ferdinand Bolstraat 194 Oud Zuid 1072 LW Amsterdam Netherlands,114,1/16/2016,6.4,Savoy Hotel Amsterdam, United Kingdom , Room was small Wifi was poor ,8,995, Bed was comfy ,5,18,7.9,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",565 day,52.349743100000005,4.8911907999999995,"52.349743100000005,4.8911907999999995",Amsterdam
89055,2 place des Pyramides 1st arr 75001 Paris France,191,4/17/2016,9.0,H tel Regina, Australia , Limited tea coffee and fresh milk maybe could have been obtained if we had asked,16,1329, Location was great room was upgraded and staff were very friendly,12,1,10.0,"[' Leisure trip ', ' Couple ', ' Prestige Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",473 day,48.8637503,2.3320406000000005,"48.8637503,2.3320406000000005",Paris
361404,Lakeside Way Brent London HA9 0BU United Kingdom,1427,12/28/2016,8.8,Hilton London Wembley, United Kingdom , The room service phone operator was rude and the breakfast was cold when it was delivered to our room,20,4305, The room was beautiful and the help when we arrived with our bags etc was very good,18,1,9.2,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",218 day,51.5576962,-0.2835263,"51.5576962,-0.2835263",London
418994,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,482,1/9/2017,9.0,art otel Amsterdam, Belgium , Pool area was really not clean piles of dirty towels And the area was cold Including the sauna Found dust in the room have picture of that ,29,3158, Nice big room Beakfast was good but long waiting for a simple coffee ,15,3,5.8,"[' Leisure trip ', ' Couple ', ' Art King Room ', ' Stayed 1 night ']",206 day,52.377743,4.897057,"52.377743,4.897057",Amsterdam
458087,St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,4/18/2016,8.6,The Tower A Guoman Hotel, Spain , It s more nitpicking than anything else but the faucets in the bathroom sink one for cold water and one for hot water have too short a neck so you rub against the sink in order to wash your hands Not a problem but something for the hotel to perhaps think about Also by having them separate you can t get a medium temperature when washing hands or brushing your teeth You either get cold or hot The bathroom is not too spacious but it s not uncomfortable The toilet is a little tight spaced which might make it difficult for larger people ,105,3486, I ve stayed at this hotel before and it just keeps getting better The location and view of course are its main selling points and they don t disappoint but it s the modern comforts style with old style details that keeps me coming back The staff is always super friendly and accommodating The beds are comfortable and the rooms really nice with some very nice touches like an ironing board which I needed during this business trip and 2 hair dryers in the room and in the bathroom Everything was super clean with the amenities one expects It s truly an excellent hotel ,106,1,10.0,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",472 day,51.5064721,-0.0716893,"51.5064721,-0.0716893",London
229775,66 Great Queen Street Covent Garden Camden London WC2B 5BX United Kingdom,377,5/9/2016,8.5,Kingsway Hall Hotel, United Kingdom , 2 so called discretional service charge Unethical business practice and blatant attempt at getting an additional fee for services that are already included within the hotel bill ,29,1363, Super Clean Super Staff Super Cozy bed Excellent location,10,1,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 4 nights ']",451 day,51.5158643,-0.1200625,"51.5158643,-0.1200625",London
114581,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,140,5/29/2017,7.4,Best Western Seraphine Kensington Olympia, France , The Bed sheets were stained and the breakfast was just horrible due to renovation works the later is perfectly understandable but in that case it is better to be made aware in advance ,35,895,No Positive,0,5,7.1,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 1 night ']",66 days,51.4992791,-0.1973593,"51.4992791,-0.1973593",London
491139,Via Spallanzani 40 Central Station 20129 Milan Italy,353,1/16/2017,8.1,Starhotels Ritz, Germany , I was not under the Impression that this was a real Ritz Hotel ,15,4248,No Positive,0,48,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",199 day,45.4779041,9.2094965,"45.4779041,9.2094965",Milano
431369,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,119,1/22/2016,8.3,Hotel Roemer Amsterdam, Israel ,No Negative,0,974, Quiet friendly and very well located Hotel well situated for museums and in a nice neighbourhood easy to reach from the Central Station by tram ,27,36,9.6,"[' Leisure trip ', ' Couple ', ' Executive Double Room with Whirlpool ', ' Stayed 3 nights ']",559 day,52.361757700000005,4.8780052000000005,"52.361757700000005,4.8780052000000005",Amsterdam
22745,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,255,3/18/2017,8.4,W London Leicester Square, United Kingdom , Dull tv and channel setup,6,863, Very stylish decorative extras,5,1,8.8,"[' Leisure trip ', ' Couple ', ' Wonderful Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",138 day,51.510843,-0.1314287,"51.510843,-0.1314287",City of Westminster
403883,Petersplatz 9 01 Innere Stadt 1010 Vienna Austria,173,9/22/2016,8.5,Hotel Wandl, United States of America ,No Negative,0,1799, Great central location,4,3,8.3,"[' Leisure trip ', ' Travelers with friends ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",315 day,48.2097026,16.3703902,"48.2097026,16.3703902",Wien
16961,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,7/3/2016,9.4,Intercontinental London The O2, United Kingdom , Nothing ,3,4204, Everything ,3,1,10.0,"[' Leisure trip ', ' Family with older children ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",396 day,51.5024348,-0.0002497,"51.5024348,-0.0002497",London
511973,Wiedner Hauptstra e 44 04 Wieden 1040 Vienna Austria,260,6/24/2017,8.0,Suite Hotel 900 m zur Oper, Australia , Bottom sheet on bed felt like a mattresses protector ,11,3461, Many thanks to wonderful Mariana on reception for great information and advice Great facilities and excellent location ,19,48,9.6,"[' Leisure trip ', ' Group ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",40 days,48.1935235,16.3669145,"48.1935235,16.3669145",Wien
71821,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,274,12/20/2015,8.6,Novotel London Greenwich, United Kingdom ,No Negative,0,924, Received free upgrade on arrival staff were excellent can t fault the hotel other than hammer drill going from 3 6pm on Saturday afternoon when we were having a nap before a night out ,36,10,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",592 day,51.4778583,-0.0137463,"51.4778583,-0.0137463",London
313140,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,309,1/24/2017,8.1,Bilderberg Garden Hotel, Indonesia ,No Negative,0,2270, We were on our honeymoon and the hotel gave a suprise by decorating our room in flower petals Love it very much Moreover although the location is not at the city centrum area it is easily reachable with trems number 2 5 or 16 ,46,2,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",191 day,52.351144700000006,4.8740764,"52.351144700000006,4.8740764",Amsterdam
514535,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,10/25/2016,7.8,Holiday Inn London Kensington, United Kingdom , hotel took payment twice from two separate cards,9,5945,No Positive,0,1,4.2,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ']",282 day,51.499981,-0.19287910000000003,"51.499981,-0.19287910000000003",London
263076,97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,854,6/27/2017,7.8,Holiday Inn London Kensington Forum, United Kingdom ,No Negative,0,3867, Quick check in perfect location ,7,1,8.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",37 days,51.4942305,-0.1851141,"51.4942305,-0.1851141",London
283926,Belgrove Street Camden London WC1H 8AB United Kingdom,392,3/4/2016,8.8,Megaro Hotel, United Kingdom , In apartment 6 there is a very trendy and smart aquare w c which is not very comfortable Slow breakfast service second morning ,25,1803, Location comfort friendly staff,5,5,9.2,"[' Business trip ', ' Solo traveler ', ' Standard Studio ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",517 day,51.5294411,-0.12337449999999998,"51.5294411,-0.12337449999999998",London
324469,Fleischmarkt 1a 01 Innere Stadt 1010 Vienna Austria,104,3/3/2016,8.3,Mercure Wien Zentrum, Poland , Glass door between the bathroom and the room does not provide enough privacy I didn t like this concept ,21,1105, Very helpful staff great location nice room clean and comfortable ,12,17,8.8,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ']",518 day,48.21140870000001,16.374646900000002,"48.21140870000001,16.374646900000002",Wien
149318,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,1/13/2017,8.4,Park Grand London Kensington, Australia , Staff weren t overly approachable and could be rude at times,12,4660, If using the tube this hotel is an excellent location close to the earls court station,17,12,5.8,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",202 day,51.4938468,-0.19175820000000002,"51.4938468,-0.19175820000000002",London
329863,Gran Via 550 Eixample 08011 Barcelona Spain,167,8/6/2015,8.8,Hotel Vueling Bcn by HC, United States of America , Nothing bad to say from this end ,9,1696, Very neat boutique hotel Staff were helpful and very customer focused Great coffee shop close by ,18,1,10.0,"[' Leisure trip ', ' Group ', ' Double Room with View ', ' Stayed 2 nights ']",728 day,41.3831641,2.1604736,"41.3831641,2.1604736",Barcelona
502010,Webgasse 26 06 Mariahilf 1060 Vienna Austria,88,12/28/2015,8.8,Austria Trend Hotel Anatol Wien, Bulgaria ,No Negative,0,1324, Very good hotel and very friendly and helpful staff Very good location of the hotel Our stay was great ,21,2,10.0,"[' Leisure trip ', ' Family with older children ', ' Classic Room ', ' Stayed 4 nights ']",584 day,48.1945774,16.346356,"48.1945774,16.346356",Wien
172597,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,12/27/2015,7.8,Millennium Gloucester Hotel London, Thailand , The first room we got probably the worst room of the hotel We can hear some noise from door opening closing all day ALL NIGHT Aircon really loud noise Toilet did not flush properly In bedroom more than 3 light bulbs did not work which make a room really dim The second night we ask for a room change on a higher floor and non of that problems remain and we were happy Also no free internet in the room only in the lobby ,86,5726, Location,2,26,7.1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",585 day,51.493508299999995,-0.1834346,"51.493508299999995,-0.1834346",London
